I10_DX,CCS,CCS_lvl1,CCS_lvl2
B589,DX8,DX-1,DX-1.4
B600,DX8,DX-1,DX-1.4
B6010,DX8,DX-1,DX-1.4
B6012,DX8,DX-1,DX-1.4
B6013,DX8,DX-1,DX-1.4
B6019,DX8,DX-1,DX-1.4
B602,DX8,DX-1,DX-1.4
B608,DX8,DX-1,DX-1.4
B64,DX8,DX-1,DX-1.4
B650,DX8,DX-1,DX-1.4
B651,DX8,DX-1,DX-1.4
B652,DX8,DX-1,DX-1.4
B658,DX8,DX-1,DX-1.4
B659,DX8,DX-1,DX-1.4
B660,DX8,DX-1,DX-1.4
B661,DX8,DX-1,DX-1.4
B662,DX8,DX-1,DX-1.4
B663,DX8,DX-1,DX-1.4
B664,DX8,DX-1,DX-1.4
B665,DX8,DX-1,DX-1.4
B668,DX8,DX-1,DX-1.4
B669,DX8,DX-1,DX-1.4
B670,DX8,DX-1,DX-1.4
B671,DX8,DX-1,DX-1.4
B672,DX8,DX-1,DX-1.4
B6731,DX8,DX-1,DX-1.4
B6732,DX8,DX-1,DX-1.4
B6739,DX8,DX-1,DX-1.4
B674,DX8,DX-1,DX-1.4
B675,DX8,DX-1,DX-1.4
B6761,DX8,DX-1,DX-1.4
B6769,DX8,DX-1,DX-1.4
B677,DX8,DX-1,DX-1.4
B678,DX8,DX-1,DX-1.4
B6790,DX8,DX-1,DX-1.4
B6799,DX8,DX-1,DX-1.4
B680,DX8,DX-1,DX-1.4
B681,DX8,DX-1,DX-1.4
B689,DX8,DX-1,DX-1.4
B690,DX8,DX-1,DX-1.4
B691,DX8,DX-1,DX-1.4
B6981,DX8,DX-1,DX-1.4
B6989,DX8,DX-1,DX-1.4
B699,DX8,DX-1,DX-1.4
B700,DX8,DX-1,DX-1.4
B701,DX8,DX-1,DX-1.4
B710,DX8,DX-1,DX-1.4
B711,DX8,DX-1,DX-1.4
B718,DX8,DX-1,DX-1.4
B719,DX8,DX-1,DX-1.4
B72,DX8,DX-1,DX-1.4
B7300,DX8,DX-1,DX-1.4
B7301,DX8,DX-1,DX-1.4
B7302,DX8,DX-1,DX-1.4
B7309,DX8,DX-1,DX-1.4
B731,DX8,DX-1,DX-1.4
B740,DX8,DX-1,DX-1.4
B741,DX8,DX-1,DX-1.4
B742,DX8,DX-1,DX-1.4
B743,DX8,DX-1,DX-1.4
B744,DX8,DX-1,DX-1.4
B748,DX8,DX-1,DX-1.4
B749,DX8,DX-1,DX-1.4
B75,DX8,DX-1,DX-1.4
B760,DX8,DX-1,DX-1.4
B761,DX8,DX-1,DX-1.4
B768,DX8,DX-1,DX-1.4
B769,DX8,DX-1,DX-1.4
B770,DX8,DX-1,DX-1.4
B7789,DX8,DX-1,DX-1.4
B779,DX8,DX-1,DX-1.4
B780,DX8,DX-1,DX-1.4
B781,DX8,DX-1,DX-1.4
B787,DX8,DX-1,DX-1.4
B789,DX8,DX-1,DX-1.4
B79,DX8,DX-1,DX-1.4
B80,DX8,DX-1,DX-1.4
B810,DX8,DX-1,DX-1.4
B811,DX8,DX-1,DX-1.4
B812,DX8,DX-1,DX-1.4
B813,DX8,DX-1,DX-1.4
B814,DX8,DX-1,DX-1.4
B818,DX8,DX-1,DX-1.4
B820,DX8,DX-1,DX-1.4
B829,DX8,DX-1,DX-1.4
B830,DX8,DX-1,DX-1.4
